Клиенты:;Описание;Некорректно работает в действующей срм
Активные абонементы;"Количество абонементов за месяц:
Попадают договора(направления/инетресы лидов), по которым у клиента в текущем месяце было хотя бы 1 платное занятие ( не важно платное пробное или по абонементу).На начало месяца у всех 0, пока в посещениях не отметят хотя бы 1 занятие
Продленные абонементы:
Учитываются договора(направления/инетресы лидов) которые было хотя бы 1 списание по договору в прошлом месяце и хотя бы 1 списание в текущем месяце 
Количество активных на конец месяца:
Учитываются договора(направления/интересы лидов),  по которым у клиента в текущем месяце было хотя бы 1 платное занятие и на последнее число месяца клиент остался активныс. Если сегодня 15 число, то программа смотрит активность на сегодня

*должна быть детализация до филиала/направления/клиента";Отработанные занятия прошлого месяца не должны влияеть на столбец продленные абонементы. Должны влиять только занятия по расписанию ( новый абонемент)
Непродленные абонементы;В отчет попадают клиенты, которые в прошлом месяце были активные ( было хотя бы 1 платное занятие), а в текущем месяце нет ни одного списания по договору;
Дни рождения;"Отображает клиентов, у которых в выбранном периоде будет день рождения. 
Должна быть возможность фильтровать по активным и нет/по филиалам";
Потенциальный отток;"В отчет попадают договора клиентов,у которых 3 занятия подряд и более проставлен ""прогул"" ( фактического присутствия не было, денежные средства с клиента списаны в счет центра) и после прогулов не было явки( фактческого посещения зантия)";
Средний чек;"Оплачено - Сумма всех платежей от клиентов за выбранный период
Количество платежей - количество всех платежей клиентов
Средний чек - оплачено / количество платежей

*Если клиент платит сразу за 2 направления или 2 ребенка, то это 1 платеж, который ""ложится"" на направления клиентов. Если клиент платит абонемент частями (апример: абонемент 3000 оплачивает 3 раза по 1000р), то это 3 платежа";
Средняя стоимость абонемента;"Количество абонементов - количество всех активных ( по которым отмечено хотя бы 1 посещение со списанием) абонементов у клиентов ( в том числе отчисленных)
Сумма абонементов - сумма всех абонементов активных абонементов  ( по которым отмечено хотя бы 1 посещение со списанием)
Средняя стоимость абонемента  = Сумма абонементов/Количество абонементов";
Сегменты лидов;Отображает всех клиентов и установленные им сегменты  автоматически или вручную . ;
LTV клиентов в разрезах;"Количество занятий со списаниями - отображает количество занятий по которым у клиента были списания с договора ( явки, прогулы, частичное списание, пробное и т.д , не учитываются полые перерасчеты и неявки)
Длительность посещений в месяцах - показывает сколько месяцев клиент посещает занятия. Если в месяце есть хотя бы 1 занятие со спсианием, то он попадает в данный столбец. Если списания в месяц не было, то в расчет показателя он не попадает
Количество посещенных направлений - отображает количество направлений по которым у клиента есть хоят бы 1 списание денежных средств с договора (если клиент ходил на английский, отчислился и потом опять вернулся, это будет 1 направление)
Сумма всех поступлений от клиента - Сумма всех палтежей клиентов ( не учитываются скидки и корректировки)
Сумма занятий с фактическим списанием - сумма всех спсианий с договора клиента ( то есть сумма списаний только по отмеченным занятиям,не отмеченные занятия  сюда не попадают)";
Работа с оттоком:;;
Детализация оттока;Отображаются клиенты, у которых был отток по педагогу или отток по направлению. Перевод в другую группу и окончил курс обучения не отображается;
Конверсия оттока по педагогам;"Активные - Количество активных клиентов у педагога
Отток - количество отчисленных клиентов
% = Отток /Активные ";
Отток по месяцам;"В отчет попадают договора по сроку отчисления. 
Количество месяцев считается с даты продажи (не по первому платному занятию)  до даты отчисления.
Если клиенту продали договор 01.05.2025, а отчислился он 25.05.2025, то он попадет в 1 месяц отчисления. 
Если клиенту продали договор 01.05.2025, а отчислился он 02.06.2025, то он попадет в 2 месяц отчисления. ";Если не стоит дата продажа, то при отчислении клиент в отчет не попадет
Отток по направлениям;"Активные абонементы -  Учитываются договора(направления/инетресы лидов) которые было хотя бы 1 списание по договору в прошлом месяце и хотя бы 1 списание в текущем месяце 
Отток - Отображаются все клиенты, которые были отчислены по укзаанному направлению ( выбыл + закончил курс обучения)
% оттока = Отток /Активные абонементы
Закончили курс - Отображает только те договора(направления/инетресы лидов) по которым клиенты закончили курс обучения";
Отток по направлениям и филиалам;"Активные абонементы -  Учитываются договора(направления/инетресы лидов) которые было хотя бы 1 списание по договору в прошлом месяце и хотя бы 1 списание в текущем месяце 
Отток - Отображаются все клиенты, которые были отчислены по укзаанному направлению ( выбыл + закончил курс обучения)
% оттока = Отток /Активные абонементы
Закончили курс - Отображает только те договора(направления/инетресы лидов) по которым клиенты закончили курс обучения
*Отличается от ""Отток по направлениям"" только тем, что в нем присутсвует деление по филиалам";
Работа с лидами:;;
Детализация  пробников;Отчет отображает всех клиентов, которые были записаны на пробные занятия, в том числе тех,кто отменил пробное занятие.;
